spot_name,href,full_url,spot_type,lat,lng,county,id
Stinson Beach,/breaks/Stinson-Beach,https://www.surf-forecast.com/breaks/Stinson-Beach,Beach,37.8978,-122.6477,Marin County,5842041f4e65fad6a77089c1
Drakes Bay,/breaks/Drakes-Bay-1,https://www.surf-forecast.com/breaks/Drakes-Bay-1,Sandbar,38.031,-122.934,Marin County,640a2d6999dd4496c8fe8cfb
Ocean Beach,/breaks/Ocean-Beach,https://www.surf-forecast.com/breaks/Ocean-Beach,Beach,37.7303,-122.5101,San Francisco County,5842041f4e65fad6a770883f
Point Reyes Beach,/breaks/Point-Reyes-Beach,https://www.surf-forecast.com/breaks/Point-Reyes-Beach,Beach,38.0658,-122.9836,Marin County,623f2558-cecd-11eb-8ee7-024238d3b313
Big River,/breaks/Big-River-1,https://www.surf-forecast.com/breaks/Big-River-1,River,39.2956,-123.8063,Mendocino County,5842041f4e65fad6a7708bb4
Seaside Creek,/breaks/Seaside-Creek,https://www.surf-forecast.com/breaks/Seaside-Creek,Beach,39.5652,-123.7726,Mendocino County,5842041f4e65fad6a77088b3
Caspar Creek,/breaks/Casper-Creek,https://www.surf-forecast.com/breaks/Casper-Creek,Beach,39.3627,-123.8218,Mendocino County,584204204e65fad6a770997d
Chadbourne Gulch,/breaks/Chadbourne-Gulch,https://www.surf-forecast.com/breaks/Chadbourne-Gulch,Beach,39.6084,-123.7882,Mendocino County,5842041f4e65fad6a7708b3f
Navarro Rivermouth,/breaks/Navarro-Rivermouth,https://www.surf-forecast.com/breaks/Navarro-Rivermouth,River,39.1881,-123.7604,Mendocino County,640a5e3e99dd447a5f0aa39a
Virgin Creek,/breaks/Virgin-Creek,https://www.surf-forecast.com/breaks/Virgin-Creek,Beach,39.4719,-123.8079,Mendocino County,640a3f9b99dd443c370330cb
De Haven Creek,/breaks/De-Haven-Creek,https://www.surf-forecast.com/breaks/De-Haven-Creek,Beach,39.6538,-123.7894,Mendocino County,640a3fa24eb3751e36945dff
Ward Avenue,/breaks/Ward-Avenue,https://www.surf-forecast.com/breaks/Ward-Avenue,Beach,39.5077,-123.7882,Mendocino County,603d4e813115d67fd060bc82
Gualala Rivermouth,/breaks/Gualala-Rivermouth,https://www.surf-forecast.com/breaks/Gualala-Rivermouth,River,38.8317,-123.6406,Mendocino County,5842041f4e65fad6a77089c7
